title,comment,tags,date
I think I have a heart problem,"
			    On valentines day I ended up in the emergency room shortness of breath and chest pain hooked up to monitors and bloodwork was told its acid reflux given omaprole. Fine for 2 weeks. Since then new doc basically guarenteed its acid reflux but now it the last 2 weeks Fitbit heart rate sitting and sleeping (when I do) dropped to 57-59 then back to 67 72 its not consistent at all sitting still 68 one min then 62 or 75 the next. then theres now weird cold shivers and cold finger tips different times of....
			","Heart Attack
		        		        		            Heart Disease
		        		            ","
				    				    3 days ago
				"
https://www.marketwatch.com/press-release/vital-alpha-testo-where-to-buy-in-canada-2020-03-23,"
			    Vital Alpha Testo:- Vital Alpha Testo is another male enhancement supplement that contains a natural fixing that hurts you and it doesn't contain any cruel synthetics. This item will improve your presentation in bed by giving your body more vitality and stamina. This testosterone booster will dispose of the dangers of feebleness and fruitlessness in men. https://www.marketwatch.com/press-release/vital-alpha-testo-where-to-buy-in-canada-2020-03-23
			",NA,"
				    				    3 days ago
				"
https://supplements4world.com/ultra-x-prime-testosterone-booster/,"
			    Ultra X Prime Testosterone Booster A later studyTrusted Source of guys extra younger than sixty five at chance for coronary heart issues and coronary heart-healthy older men confirmed that both agencies had a greater hazard of coronary heart assault while taking testosterone dietary dietary supplements. https://supplements4world.com/ultra-x-prime-testosterone-booster/
			",NA,"
				    				    7 days ago
				"
http://www.maxbodydev.com/number-one-keto/,"
			    your body this carry your frame in ketosis and then the weight reduction method begins equal is the functioning of this this it produces ketones in your body and in the long run your frame comes in ketosis u . S . A . ketones are located in each human frame but in a few humans the ones aren't energetic this weight loss supplement will spark off natural ketones in your frame if you have the preference of decreasing body weight then you may turn your dream into truth Number One Keto the assist....
			",NA,"
				    				    8 days ago
				"
Worried,"
			    Two months ago I went to the ER with burning pain in my chest and throat...my ekg cardiac bloodwork and heart monitor all came back normal...I have gastritis and had ulcers bleed. Today I'm having the same symptoms..even though everything came back normal could this be cardiac
			",NA,"
				    				    11 days ago
				"
Is this all that can be done?,"
			    My husband is 73 and back in 2010 he had 4 bypass surgery. Since that time he has had stents several times. Back in August of last year, we were back in the hospital with a heart attack...again. This time the heart cath showed he had 5 - 7 blockages in his heart. A surgeon was contacted and came to see him. He did several test and then came back and told us that he could not do surgery because the main artery that goes in the front of the heart was calcified. If he tried to clamp it off, it would....
			","Heart Attack
		        		        		            Heart Disease
		        		            ","
				    				    17 days ago
				"
Mild lvh 34 hypertensive patient,"
			    I am a very anxious person and have always feared something was wrong with my heart. I'm 34 and have had high blood pressure since 20s and moderate high cholesterol. I have had the Gambit of test. Nuclear stress test, many ecgs, angiogram and finally a echo. The only thing they found was I have mild lvh but my arteries were completely clean. I freaked out as I assumed I was given a death sentence but the cardio doc said mild lvh is not something he is worried about it just means we need to ensure....
			","High Blood Pressure
		        		        		            Cholesterol Control
		        		            ","
				    				    19 days ago
				"
Caffeine and Tachycardia,"
			    Hello! I have been experiencing tachycardia and as an avid coffee drinker, I was curious if it was related to this. I drink about 100 mg of coffee in the morning (almost 2 shots of espresso) at around 7am and I am still experiencing tachycardia up to 150bpm at 5pm. I understand the science of half life in caffeine, but with only 25mg of caffeine in my system at that time, I was curious if that would make a difference? I have been unable to find any articles online that explain how *little* caffeine....
			",NA,"
				    				    22 days ago
				"
Stomach and lower back pain.,"
			    Hello. I’ve been having some stomach pain and lower back pain. I also have been very weak and shaky. Always tired and just don’t feel like me. Has anyone experienced this before or might have an inclination of what’s going on??
			","High Blood Pressure
		        		            ","
				    				    25 days ago
				"
Ashwagandha & Blood Thinner Interactions,"
			    I have had two heart attacks, one very severe with 3 arteries 100% blocked & 4th 65% blocked. However I avoided any type of surgery. I am at a crossroad right now. I have become quite weak and tire pretty easily. My general cardiologist suggested that I take a supplement ""ashwagandha' for 15 days, stop for 15 days and keep alternating. However my cardiac surgeon says that 'ashwagandha' interferes with blood thinners & thus will put me at risk. Question is ""Does Ashwagandha....
			","Heart Attack
		        		        		            Heart Disease
		        		            ","
				    				    1 month ago
				"
a number of symptoms..,"
			    Hello, I have a few different symptoms that I wanted to ask some questions about. For the past month, I have had shooting pains in my chest. I feel like I can't take a deep breath in. Sometimes when I lean over it gets better. My heart also starts racing for no reason at all. Whatever I am doing. I feel like I'm going to vomit but I don't. The other day I was driving on the highway, when all of the sudden I got very nauseous. I pulled over. I suddenly got a chest pain that radiated to....
			",NA,"
				    				    1 month ago
				"
Heart rate,"
			    My heart rate has been erratic for months. I'm jumping from 54 BPM to 197 in a matter of minutes. It stays high for a few minutes and then drops down low. To 65. My chest hurts often and there is a hard lump. I have had a mammogram and they couldn't tell because of density. All test come back normal. I have had siezures when it jumps. The doctors say it is stress. I exercise but I'm far from an athlete. My heart rate while sleeping is mid to high 40s. Is anyone else going though this....
			","Exercise
		        		        		            AFib
		        		        		            High Blood Pressure
		        		        		            Diet
		        		        		            Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		        		            Cholesterol Control
		        		            ","
				    				    1 month ago
				"
Health,"
			    Im a 30yr old female and im really starting to struggle with life atm it started 4 months ago i was going lightheaded most days went gp had bloods all ok then i started to get pain in my chest arm and jaw had ecg was ok since then it gotten worse ive been to gp dont know how many times 3 days ago i blacked out for few seconds i rang 111 for advice they sent amublance out my ecg came bk with abnormal pvcs but said i should be fine and to ring gp i have and cnt get appointment only a phone one in 5....
			",NA,"
				    				    1 month ago
				"
Severe chest pain,"
			    I am a 40 year old female. 5'10"" 175 lbs. Married with 2 sons, ages 12 and 15. I suffer from depression and bipolar and am on medication for both. For the last several months I have been experiencing sharp chest pains, tightness around my upper chest and it gets hard to breathe. These episodes come on when I get stressed or sometimes wake me up at night. They will last anywhere from 5-30 minutes. I have had an EKG done and stress test both of which showed no problems. I have never had tests....
			",NA,"
				    				    1 month ago
				"
Concerns of Heart and Lung Health,"
			    Hello, Im a 35 yr old American caucasian male who has been in and out of ERs , hospitals, Drs, Specialist and clinics my whole life. Mostly for stomach issues that have still yet to be properly diagnosed but usually thrown around between the oh so similar worlds of IBS, IBD, GERD and colitis. But changes from Dr to Dr and anytime a specialist can actually fit me in i dont usually happen to be experiencing any flares which go figure when the appointment ends up being 4 to 6 months from when i need....
			","High Blood Pressure
		        		        		            Heart Failure
		        		        		            Heart Disease
		        		            ","
				    				    1 month ago
				"
Henrietta Lacks and Healthcare Leadership,"
			    Henrietta Lacks and Health Care Leadership Risha Pierre MHA/508- Navigating the Regulatory Environment in Health Care January 27, 2020 Professor Rick Nordahl   Henrietta Lacks and Health Care Leadership In the 1950’s there was a family and women named Henrietta Lacks that was trying to get treated for her cervical tumor at the John Hopkins Clinic. During this time of the visit the Lacks family were unaware of the condition that Henrietta was in. In this article, I will discuss evaluating and determining....
			",NA,"
				    				    2 months ago
				"
Elevated heart rate and blood pressure,"
			    Hey everyone! I'm a 26 year old I'm 5'10 and sadly 274 pounds with some health issues I'm worried about. Went to the hospital yesterday but ER doc checked xrays and blood samples and told me everything was fine. Elevated blood pressure and heart rate due too my anxiety panic disorder. plus being overweight doesn't help. I have to get on track with my weight and anxiety,, any suggestions?
			","Exercise
		        		        		            High Blood Pressure
		        		        		            Cholesterol Control
		        		            ","
				    				    2 months ago
				"
Afib ablation,"
			    I had an ablation for afib in December 2019. Since then I have had unbelievable fatigue, 2 weeks of vertigo, excessive burping and nauseated. the ablation was very close to my esophagus per the Dr. the doctor office thinks I shouldn’t be fatigued. looking to hear from people who might have similar. Thanks
			","AFib
		        		            ","
				    				    2 months ago
				"
Cardiac Advise,"
			    My husband got his test results back and has to have angioplasty done on his right and left iliac arteries one is 85% blocked and the other is 50%. But with the same test they found he had a 75% blockage in his Right Renal Artery and his dr told us that because he is not on blood pressure medications that they weren't going to do anything about this that it was nothing to worry about. And I am thinking this dr is very wrong! With a 75% blockage I believe he should be getting something done am....
			","High Blood Pressure
		        		        		            Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		            ","
				    				    2 months ago
				"
Hi BP,"
			    Hi, I’m a 61 year old male, 5’8” about 156 lbs and in pretty decent shape for my age. I’ve been using a treadmill and spin bike for several years. About a year ago I started lifting weights 3 times per week. I was diagnosed with High BP a few years ago. Since then I’ve been on 10 mg of lisinopril and my BP has been under control. I also for a few years have been on 5 mg daily cialis for, well you know. Recently my BP is starting to rise again to readings like 155/95 160/97. I go to the doc every....
			","High Blood Pressure
		        		            ","
				    				    2 months ago
				"
Heart problem or anxiety?,"
			    Hello everyone, 34 years old male Work in IT Musician/teach music Play video games (long gaming sessions). I will just list the things that I am experiencing. Heart palpitation Some feel like a big thump on my chest, I describe it as a blip in my whole system. I feel like if for a second I am about to pass out. Heart beats fast and then goes down. These are not too often but definitely more often than years ago. Heart ""twitches"" Just a like a muscle twitch.. at times my heart twitches.....
			","Exercise
		        		        		            Diet
		        		        		            Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		        		            Cholesterol Control
		        		            ","
				    				    2 months ago
				"
Irregular Heartbeat and Burping,"
			    I started feeling irregular heartbeat where it feels like my heart skips a beat. I feel it from my my stomach in the diaphragm area and to my throat. This started recently and it seems to be occurring more often between 9am to 1pm or after eating. When it happens, i have gas builds up and have to burp. It is lasting for long minutes or even hours. I had an episode where I went to ER and got EKG, blood work, and blood pressure. All results came out normal. It is now becoming an issue in my daily life....
			","Exercise
		        		        		            AFib
		        		        		            High Blood Pressure
		        		        		            Diet
		        		        		            Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		        		            Cholesterol Control
		        		            ","
				    				    2 months ago
				"
I'm still alive after 2 heart attacks!,"
			    Let me give you a brief rundown on what happened. Im 36.. Went to help my friend at his work. After a few hours we took a short break. I stood up said "" Oh Sh#* ! "" fell backwards and smashed my head HARD on the concrete ground. My friend called 911 and attempted to give me CPR.. When the paramedics came.. My friend said they were hitting my chest like they were silver back gorillas! Apparently I had another heart attack before arriving at the hospital. ( so that's 2 heart attcks )....
			","Heart Failure
		        		        		            Heart Attack
		        		            ","
				    				    2 months ago
				"
